Election Year,Total Votes,Municipality,PA Senate Candidate,PA Senate Candidate Party,PA Senate District Prop,PA Senate Office Prop,PA Senate Office Votes,PA Senate Precinct Prop,PA Senate Precinct Votes,POTUS Candidate,POTUS Candidate Party,POTUS District Prop,POTUS Office Prop,POTUS Office Votes,POTUS Precinct Prop,POTUS Precinct Votes,Precinct,Total Turnout,US Senate Candidate,US Senate Candidate Party,US Senate District Prop,US Senate Office Prop,US Senate Office Votes,US Senate Precinct Prop,US Senate Precinct Votes,GEOID
2012,115,Adamsburg Borough,Kim L Ward,R,92.5,86.96,92984,92.5,74,Mitt Romney,R,68.35,61.29,103932,68.35,54,Adamsburg Borough,68.7,Rayburn Douglas Smith,L,0,1.82,3060,0,0,4212910
2012,115,Adamsburg Borough,Kim L Ward,R,92.5,86.96,92984,92.5,74,Barack Obama,D,30.38,37.58,63722,30.38,24,Adamsburg Borough,68.7,Tom Smith,R,65.38,56.78,95218,65.38,51,4212910
2012,115,Adamsburg Borough,Kim L Ward,R,92.5,86.96,92984,92.5,74,Barack Obama,D,30.38,37.58,63722,30.38,24,Adamsburg Borough,68.7,Bob Casey Jr,D,34.62,41.4,69431,34.62,27,4212910
2012,115,Adamsburg Borough,Kim L Ward,R,92.5,86.96,92984,92.5,74,Barack Obama,D,30.38,37.58,63722,30.38,24,Adamsburg Borough,68.7,Rayburn Douglas Smith,L,0,1.82,3060,0,0,4212910
2012,115,Adamsburg Borough,Kim L Ward,R,92.5,86.96,92984,92.5,74,Gary Johnson,L,1.27,0.84,1426,1.27,1,Adamsburg Borough,68.7,Tom Smith,R,65.38,56.78,95218,65.38,51,4212910
2012,115,Adamsburg Borough,Kim L Ward,R,92.5,86.96,92984,92.5,74,Gary Johnson,L,1.27,0.84,1426,1.27,1,Adamsburg Borough,68.7,Bob Casey Jr,D,34.62,41.4,69431,34.62,27,4212910
2012,115,Adamsburg Borough,Kim L Ward,R,92.5,86.96,92984,92.5,74,Gary Johnson,L,1.27,0.84,1426,1.27,1,Adamsburg Borough,68.7,Rayburn Douglas Smith,L,0,1.82,3060,0,0,4212910
2012,115,Adamsburg Borough,Kim L Ward,R,92.5,86.96,92984,92.5,74,Jill Stein,G,0,0.29,492,0,0,Adamsburg Borough,68.7,Tom Smith,R,65.38,56.78,95218,65.38,51,4212910
2012,115,Adamsburg Borough,Kim L Ward,R,92.5,86.96,92984,92.5,74,Jill Stein,G,0,0.29,492,0,0,Adamsburg Borough,68.7,Bob Casey Jr,D,34.62,41.4,69431,34.62,27,4212910
2012,115,Adamsburg Borough,Kim L Ward,R,92.5,86.96,92984,92.5,74,Jill Stein,G,0,0.29,492,0,0,Adamsburg Borough,68.7,Rayburn Douglas Smith,L,0,1.82,3060,0,0,4212910
2012,213,Arona Borough,Ronald M Gazze,I,13.71,13.04,13946,13.71,17,Mitt Romney,R,73.85,61.29,103932,73.85,96,Arona Borough,61.03,Tom Smith,R,64.39,56.78,95218,64.39,85,42129120
2012,213,Arona Borough,Ronald M Gazze,I,13.71,13.04,13946,13.71,17,Mitt Romney,R,73.85,61.29,103932,73.85,96,Arona Borough,61.03,Bob Casey Jr,D,34.85,41.4,69431,34.85,46,42129120
2012,213,Arona Borough,Ronald M Gazze,I,13.71,13.04,13946,13.71,17,Mitt Romney,R,73.85,61.29,103932,73.85,96,Arona Borough,61.03,Rayburn Douglas Smith,L,0.76,1.82,3060,0.76,1,42129120
2012,213,Arona Borough,Ronald M Gazze,I,13.71,13.04,13946,13.71,17,Barack Obama,D,26.15,37.58,63722,26.15,34,Arona Borough,61.03,Tom Smith,R,64.39,56.78,95218,64.39,85,42129120
2012,213,Arona Borough,Ronald M Gazze,I,13.71,13.04,13946,13.71,17,Barack Obama,D,26.15,37.58,63722,26.15,34,Arona Borough,61.03,Bob Casey Jr,D,34.85,41.4,69431,34.85,46,42129120
2012,213,Arona Borough,Ronald M Gazze,I,13.71,13.04,13946,13.71,17,Barack Obama,D,26.15,37.58,63722,26.15,34,Arona Borough,61.03,Rayburn Douglas Smith,L,0.76,1.82,3060,0.76,1,42129120
2012,213,Arona Borough,Ronald M Gazze,I,13.71,13.04,13946,13.71,17,Gary Johnson,L,0,0.84,1426,0,0,Arona Borough,61.03,Tom Smith,R,64.39,56.78,95218,64.39,85,42129120
2012,213,Arona Borough,Ronald M Gazze,I,13.71,13.04,13946,13.71,17,Gary Johnson,L,0,0.84,1426,0,0,Arona Borough,61.03,Bob Casey Jr,D,34.85,41.4,69431,34.85,46,42129120
2012,213,Arona Borough,Ronald M Gazze,I,13.71,13.04,13946,13.71,17,Gary Johnson,L,0,0.84,1426,0,0,Arona Borough,61.03,Rayburn Douglas Smith,L,0.76,1.82,3060,0.76,1,42129120
2012,213,Arona Borough,Ronald M Gazze,I,13.71,13.04,13946,13.71,17,Jill Stein,G,0,0.29,492,0,0,Arona Borough,61.03,Tom Smith,R,64.39,56.78,95218,64.39,85,42129120
2012,213,Arona Borough,Ronald M Gazze,I,13.71,13.04,13946,13.71,17,Jill Stein,G,0,0.29,492,0,0,Arona Borough,61.03,Bob Casey Jr,D,34.85,41.4,69431,34.85,46,42129120
2012,213,Arona Borough,Ronald M Gazze,I,13.71,13.04,13946,13.71,17,Jill Stein,G,0,0.29,492,0,0,Arona Borough,61.03,Rayburn Douglas Smith,L,0.76,1.82,3060,0.76,1,42129120
2012,213,Arona Borough,Kim L Ward,R,86.29,86.96,92984,86.29,107,Mitt Romney,R,73.85,61.29,103932,73.85,96,Arona Borough,61.03,Tom Smith,R,64.39,56.78,95218,64.39,85,42129120
2012,213,Arona Borough,Kim L Ward,R,86.29,86.96,92984,86.29,107,Mitt Romney,R,73.85,61.29,103932,73.85,96,Arona Borough,61.03,Bob Casey Jr,D,34.85,41.4,69431,34.85,46,42129120
2012,213,Arona Borough,Kim L Ward,R,86.29,86.96,92984,86.29,107,Mitt Romney,R,73.85,61.29,103932,73.85,96,Arona Borough,61.03,Rayburn Douglas Smith,L,0.76,1.82,3060,0.76,1,42129120
2012,213,Arona Borough,Kim L Ward,R,86.29,86.96,92984,86.29,107,Barack Obama,D,26.15,37.58,63722,26.15,34,Arona Borough,61.03,Tom Smith,R,64.39,56.78,95218,64.39,85,42129120
2012,213,Arona Borough,Kim L Ward,R,86.29,86.96,92984,86.29,107,Barack Obama,D,26.15,37.58,63722,26.15,34,Arona Borough,61.03,Bob Casey Jr,D,34.85,41.4,69431,34.85,46,42129120
2012,213,Arona Borough,Kim L Ward,R,86.29,86.96,92984,86.29,107,Barack Obama,D,26.15,37.58,63722,26.15,34,Arona Borough,61.03,Rayburn Douglas Smith,L,0.76,1.82,3060,0.76,1,42129120
2012,213,Arona Borough,Kim L Ward,R,86.29,86.96,92984,86.29,107,Gary Johnson,L,0,0.84,1426,0,0,Arona Borough,61.03,Tom Smith,R,64.39,56.78,95218,64.39,85,42129120
2012,213,Arona Borough,Kim L Ward,R,86.29,86.96,92984,86.29,107,Gary Johnson,L,0,0.84,1426,0,0,Arona Borough,61.03,Bob Casey Jr,D,34.85,41.4,69431,34.85,46,42129120
2012,213,Arona Borough,Kim L Ward,R,86.29,86.96,92984,86.29,107,Gary Johnson,L,0,0.84,1426,0,0,Arona Borough,61.03,Rayburn Douglas Smith,L,0.76,1.82,3060,0.76,1,42129120
2012,213,Arona Borough,Kim L Ward,R,86.29,86.96,92984,86.29,107,Jill Stein,G,0,0.29,492,0,0,Arona Borough,61.03,Tom Smith,R,64.39,56.78,95218,64.39,85,42129120
2012,213,Arona Borough,Kim L Ward,R,86.29,86.96,92984,86.29,107,Jill Stein,G,0,0.29,492,0,0,Arona Borough,61.03,Bob Casey Jr,D,34.85,41.4,69431,34.85,46,42129120
2012,213,Arona Borough,Kim L Ward,R,86.29,86.96,92984,86.29,107,Jill Stein,G,0,0.29,492,0,0,Arona Borough,61.03,Rayburn Douglas Smith,L,0.76,1.82,3060,0.76,1,42129120
2012,532,Derry Borough,Ronald M Gazze,I,11.56,13.04,13946,12.99,46,Mitt Romney,R,57.47,61.29,103932,54.42,197,Derry Borough Ward 1,68.05,Tom Smith,R,53.5,56.78,95218,49.44,178,42129330
2012,532,Derry Borough,Ronald M Gazze,I,11.56,13.04,13946,12.99,46,Mitt Romney,R,57.47,61.29,103932,54.42,197,Derry Borough Ward 1,68.05,Bob Casey Jr,D,44.17,41.4,69431,46.94,169,42129330
2012,532,Derry Borough,Ronald M Gazze,I,11.56,13.04,13946,12.99,46,Mitt Romney,R,57.47,61.29,103932,54.42,197,Derry Borough Ward 1,68.05,Rayburn Douglas Smith,L,2.33,1.82,3060,3.61,13,42129330
2012,532,Derry Borough,Ronald M Gazze,I,11.56,13.04,13946,12.99,46,Barack Obama,D,40.92,37.58,63722,43.92,159,Derry Borough Ward 1,68.05,Tom Smith,R,53.5,56.78,95218,49.44,178,42129330
2012,532,Derry Borough,Ronald M Gazze,I,11.56,13.04,13946,12.99,46,Barack Obama,D,40.92,37.58,63722,43.92,159,Derry Borough Ward 1,68.05,Bob Casey Jr,D,44.17,41.4,69431,46.94,169,42129330
2012,532,Derry Borough,Ronald M Gazze,I,11.56,13.04,13946,12.99,46,Barack Obama,D,40.92,37.58,63722,43.92,159,Derry Borough Ward 1,68.05,Rayburn Douglas Smith,L,2.33,1.82,3060,3.61,13,42129330
2012,532,Derry Borough,Ronald M Gazze,I,11.56,13.04,13946,12.99,46,Gary Johnson,L,1.2,0.84,1426,1.66,6,Derry Borough Ward 1,68.05,Tom Smith,R,53.5,56.78,95218,49.44,178,42129330
2012,532,Derry Borough,Ronald M Gazze,I,11.56,13.04,13946,12.99,46,Gary Johnson,L,1.2,0.84,1426,1.66,6,Derry Borough Ward 1,68.05,Bob Casey Jr,D,44.17,41.4,69431,46.94,169,42129330
2012,532,Derry Borough,Ronald M Gazze,I,11.56,13.04,13946,12.99,46,Gary Johnson,L,1.2,0.84,1426,1.66,6,Derry Borough Ward 1,68.05,Rayburn Douglas Smith,L,2.33,1.82,3060,3.61,13,42129330
2012,532,Derry Borough,Ronald M Gazze,I,11.56,13.04,13946,12.99,46,Jill Stein,G,0.4,0.29,492,0,0,Derry Borough Ward 1,68.05,Tom Smith,R,53.5,56.78,95218,49.44,178,42129330
2012,532,Derry Borough,Ronald M Gazze,I,11.56,13.04,13946,12.99,46,Jill Stein,G,0.4,0.29,492,0,0,Derry Borough Ward 1,68.05,Bob Casey Jr,D,44.17,41.4,69431,46.94,169,42129330
2012,532,Derry Borough,Ronald M Gazze,I,11.56,13.04,13946,12.99,46,Jill Stein,G,0.4,0.29,492,0,0,Derry Borough Ward 1,68.05,Rayburn Douglas Smith,L,2.33,1.82,3060,3.61,13,42129330
2012,532,Derry Borough,Kim L Ward,R,88.44,86.96,92984,87.01,308,Mitt Romney,R,57.47,61.29,103932,54.42,197,Derry Borough Ward 1,68.05,Tom Smith,R,53.5,56.78,95218,49.44,178,42129330
2012,532,Derry Borough,Kim L Ward,R,88.44,86.96,92984,87.01,308,Mitt Romney,R,57.47,61.29,103932,54.42,197,Derry Borough Ward 1,68.05,Bob Casey Jr,D,44.17,41.4,69431,46.94,169,42129330
2012,532,Derry Borough,Kim L Ward,R,88.44,86.96,92984,87.01,308,Mitt Romney,R,57.47,61.29,103932,54.42,197,Derry Borough Ward 1,68.05,Rayburn Douglas Smith,L,2.33,1.82,3060,3.61,13,42129330
2012,532,Derry Borough,Kim L Ward,R,88.44,86.96,92984,87.01,308,Barack Obama,D,40.92,37.58,63722,43.92,159,Derry Borough Ward 1,68.05,Tom Smith,R,53.5,56.78,95218,49.44,178,42129330
2012,532,Derry Borough,Kim L Ward,R,88.44,86.96,92984,87.01,308,Barack Obama,D,40.92,37.58,63722,43.92,159,Derry Borough Ward 1,68.05,Bob Casey Jr,D,44.17,41.4,69431,46.94,169,42129330
2012,532,Derry Borough,Kim L Ward,R,88.44,86.96,92984,87.01,308,Barack Obama,D,40.92,37.58,63722,43.92,159,Derry Borough Ward 1,68.05,Rayburn Douglas Smith,L,2.33,1.82,3060,3.61,13,42129330
2012,532,Derry Borough,Kim L Ward,R,88.44,86.96,92984,87.01,308,Gary Johnson,L,1.2,0.84,1426,1.66,6,Derry Borough Ward 1,68.05,Tom Smith,R,53.5,56.78,95218,49.44,178,42129330
2012,532,Derry Borough,Kim L Ward,R,88.44,86.96,92984,87.01,308,Gary Johnson,L,1.2,0.84,1426,1.66,6,Derry Borough Ward 1,68.05,Bob Casey Jr,D,44.17,41.4,69431,46.94,169,42129330
2012,532,Derry Borough,Kim L Ward,R,88.44,86.96,92984,87.01,308,Gary Johnson,L,1.2,0.84,1426,1.66,6,Derry Borough Ward 1,68.05,Rayburn Douglas Smith,L,2.33,1.82,3060,3.61,13,42129330
2012,532,Derry Borough,Kim L Ward,R,88.44,86.96,92984,87.01,308,Jill Stein,G,0.4,0.29,492,0,0,Derry Borough Ward 1,68.05,Tom Smith,R,53.5,56.78,95218,49.44,178,42129330
2012,532,Derry Borough,Kim L Ward,R,88.44,86.96,92984,87.01,308,Jill Stein,G,0.4,0.29,492,0,0,Derry Borough Ward 1,68.05,Bob Casey Jr,D,44.17,41.4,69431,46.94,169,42129330
2012,532,Derry Borough,Kim L Ward,R,88.44,86.96,92984,87.01,308,Jill Stein,G,0.4,0.29,492,0,0,Derry Borough Ward 1,68.05,Rayburn Douglas Smith,L,2.33,1.82,3060,3.61,13,42129330
2012,396,Derry Borough,Ronald M Gazze,I,11.56,13.04,13946,11.33,29,Mitt Romney,R,57.47,61.29,103932,54.85,147,Derry Borough Ward 2,67.68,Tom Smith,R,53.5,56.78,95218,53.01,141,42129340
2012,396,Derry Borough,Ronald M Gazze,I,11.56,13.04,13946,11.33,29,Mitt Romney,R,57.47,61.29,103932,54.85,147,Derry Borough Ward 2,67.68,Bob Casey Jr,D,44.17,41.4,69431,45.86,122,42129340
2012,396,Derry Borough,Ronald M Gazze,I,11.56,13.04,13946,11.33,29,Mitt Romney,R,57.47,61.29,103932,54.85,147,Derry Borough Ward 2,67.68,Rayburn Douglas Smith,L,2.33,1.82,3060,1.13,3,42129340
2012,396,Derry Borough,Ronald M Gazze,I,11.56,13.04,13946,11.33,29,Barack Obama,D,40.92,37.58,63722,42.54,114,Derry Borough Ward 2,67.68,Tom Smith,R,53.5,56.78,95218,53.01,141,42129340
2012,396,Derry Borough,Ronald M Gazze,I,11.56,13.04,13946,11.33,29,Barack Obama,D,40.92,37.58,63722,42.54,114,Derry Borough Ward 2,67.68,Bob Casey Jr,D,44.17,41.4,69431,45.86,122,42129340
2012,396,Derry Borough,Ronald M Gazze,I,11.56,13.04,13946,11.33,29,Barack Obama,D,40.92,37.58,63722,42.54,114,Derry Borough Ward 2,67.68,Rayburn Douglas Smith,L,2.33,1.82,3060,1.13,3,42129340
2012,396,Derry Borough,Ronald M Gazze,I,11.56,13.04,13946,11.33,29,Gary Johnson,L,1.2,0.84,1426,1.87,5,Derry Borough Ward 2,67.68,Tom Smith,R,53.5,56.78,95218,53.01,141,42129340
2012,396,Derry Borough,Ronald M Gazze,I,11.56,13.04,13946,11.33,29,Gary Johnson,L,1.2,0.84,1426,1.87,5,Derry Borough Ward 2,67.68,Bob Casey Jr,D,44.17,41.4,69431,45.86,122,42129340
2012,396,Derry Borough,Ronald M Gazze,I,11.56,13.04,13946,11.33,29,Gary Johnson,L,1.2,0.84,1426,1.87,5,Derry Borough Ward 2,67.68,Rayburn Douglas Smith,L,2.33,1.82,3060,1.13,3,42129340
2012,396,Derry Borough,Ronald M Gazze,I,11.56,13.04,13946,11.33,29,Jill Stein,G,0.4,0.29,492,0.75,2,Derry Borough Ward 2,67.68,Tom Smith,R,53.5,56.78,95218,53.01,141,42129340
2012,396,Derry Borough,Ronald M Gazze,I,11.56,13.04,13946,11.33,29,Jill Stein,G,0.4,0.29,492,0.75,2,Derry Borough Ward 2,67.68,Bob Casey Jr,D,44.17,41.4,69431,45.86,122,42129340
2012,396,Derry Borough,Ronald M Gazze,I,11.56,13.04,13946,11.33,29,Jill Stein,G,0.4,0.29,492,0.75,2,Derry Borough Ward 2,67.68,Rayburn Douglas Smith,L,2.33,1.82,3060,1.13,3,42129340
2012,396,Derry Borough,Kim L Ward,R,88.44,86.96,92984,88.67,227,Mitt Romney,R,57.47,61.29,103932,54.85,147,Derry Borough Ward 2,67.68,Tom Smith,R,53.5,56.78,95218,53.01,141,42129340
2012,396,Derry Borough,Kim L Ward,R,88.44,86.96,92984,88.67,227,Mitt Romney,R,57.47,61.29,103932,54.85,147,Derry Borough Ward 2,67.68,Bob Casey Jr,D,44.17,41.4,69431,45.86,122,42129340
2012,396,Derry Borough,Kim L Ward,R,88.44,86.96,92984,88.67,227,Mitt Romney,R,57.47,61.29,103932,54.85,147,Derry Borough Ward 2,67.68,Rayburn Douglas Smith,L,2.33,1.82,3060,1.13,3,42129340
2012,396,Derry Borough,Kim L Ward,R,88.44,86.96,92984,88.67,227,Barack Obama,D,40.92,37.58,63722,42.54,114,Derry Borough Ward 2,67.68,Tom Smith,R,53.5,56.78,95218,53.01,141,42129340
2012,396,Derry Borough,Kim L Ward,R,88.44,86.96,92984,88.67,227,Barack Obama,D,40.92,37.58,63722,42.54,114,Derry Borough Ward 2,67.68,Bob Casey Jr,D,44.17,41.4,69431,45.86,122,42129340
2012,396,Derry Borough,Kim L Ward,R,88.44,86.96,92984,88.67,227,Barack Obama,D,40.92,37.58,63722,42.54,114,Derry Borough Ward 2,67.68,Rayburn Douglas Smith,L,2.33,1.82,3060,1.13,3,42129340
2012,396,Derry Borough,Kim L Ward,R,88.44,86.96,92984,88.67,227,Gary Johnson,L,1.2,0.84,1426,1.87,5,Derry Borough Ward 2,67.68,Tom Smith,R,53.5,56.78,95218,53.01,141,42129340
2012,396,Derry Borough,Kim L Ward,R,88.44,86.96,92984,88.67,227,Gary Johnson,L,1.2,0.84,1426,1.87,5,Derry Borough Ward 2,67.68,Bob Casey Jr,D,44.17,41.4,69431,45.86,122,42129340
2012,396,Derry Borough,Kim L Ward,R,88.44,86.96,92984,88.67,227,Gary Johnson,L,1.2,0.84,1426,1.87,5,Derry Borough Ward 2,67.68,Rayburn Douglas Smith,L,2.33,1.82,3060,1.13,3,42129340
2012,396,Derry Borough,Kim L Ward,R,88.44,86.96,92984,88.67,227,Jill Stein,G,0.4,0.29,492,0.75,2,Derry Borough Ward 2,67.68,Tom Smith,R,53.5,56.78,95218,53.01,141,42129340
2012,396,Derry Borough,Kim L Ward,R,88.44,86.96,92984,88.67,227,Jill Stein,G,0.4,0.29,492,0.75,2,Derry Borough Ward 2,67.68,Bob Casey Jr,D,44.17,41.4,69431,45.86,122,42129340
2012,396,Derry Borough,Kim L Ward,R,88.44,86.96,92984,88.67,227,Jill Stein,G,0.4,0.29,492,0.75,2,Derry Borough Ward 2,67.68,Rayburn Douglas Smith,L,2.33,1.82,3060,1.13,3,42129340
2012,277,Derry Borough,Ronald M Gazze,I,11.56,13.04,13946,11.8,21,Mitt Romney,R,57.47,61.29,103932,66.67,124,Derry Borough Ward 3,67.15,Tom Smith,R,53.5,56.78,95218,60.11,110,42129350
2012,277,Derry Borough,Ronald M Gazze,I,11.56,13.04,13946,11.8,21,Mitt Romney,R,57.47,61.29,103932,66.67,124,Derry Borough Ward 3,67.15,Bob Casey Jr,D,44.17,41.4,69431,38.25,70,42129350
2012,277,Derry Borough,Ronald M Gazze,I,11.56,13.04,13946,11.8,21,Mitt Romney,R,57.47,61.29,103932,66.67,124,Derry Borough Ward 3,67.15,Rayburn Douglas Smith,L,2.33,1.82,3060,1.64,3,42129350
2012,277,Derry Borough,Ronald M Gazze,I,11.56,13.04,13946,11.8,21,Barack Obama,D,40.92,37.58,63722,31.72,59,Derry Borough Ward 3,67.15,Tom Smith,R,53.5,56.78,95218,60.11,110,42129350
2012,277,Derry Borough,Ronald M Gazze,I,11.56,13.04,13946,11.8,21,Barack Obama,D,40.92,37.58,63722,31.72,59,Derry Borough Ward 3,67.15,Bob Casey Jr,D,44.17,41.4,69431,38.25,70,42129350
2012,277,Derry Borough,Ronald M Gazze,I,11.56,13.04,13946,11.8,21,Barack Obama,D,40.92,37.58,63722,31.72,59,Derry Borough Ward 3,67.15,Rayburn Douglas Smith,L,2.33,1.82,3060,1.64,3,42129350
2012,277,Derry Borough,Ronald M Gazze,I,11.56,13.04,13946,11.8,21,Gary Johnson,L,1.2,0.84,1426,0.54,1,Derry Borough Ward 3,67.15,Tom Smith,R,53.5,56.78,95218,60.11,110,42129350
2012,277,Derry Borough,Ronald M Gazze,I,11.56,13.04,13946,11.8,21,Gary Johnson,L,1.2,0.84,1426,0.54,1,Derry Borough Ward 3,67.15,Bob Casey Jr,D,44.17,41.4,69431,38.25,70,42129350
2012,277,Derry Borough,Ronald M Gazze,I,11.56,13.04,13946,11.8,21,Gary Johnson,L,1.2,0.84,1426,0.54,1,Derry Borough Ward 3,67.15,Rayburn Douglas Smith,L,2.33,1.82,3060,1.64,3,42129350
2012,277,Derry Borough,Ronald M Gazze,I,11.56,13.04,13946,11.8,21,Jill Stein,G,0.4,0.29,492,1.08,2,Derry Borough Ward 3,67.15,Tom Smith,R,53.5,56.78,95218,60.11,110,42129350
2012,277,Derry Borough,Ronald M Gazze,I,11.56,13.04,13946,11.8,21,Jill Stein,G,0.4,0.29,492,1.08,2,Derry Borough Ward 3,67.15,Bob Casey Jr,D,44.17,41.4,69431,38.25,70,42129350
2012,277,Derry Borough,Ronald M Gazze,I,11.56,13.04,13946,11.8,21,Jill Stein,G,0.4,0.29,492,1.08,2,Derry Borough Ward 3,67.15,Rayburn Douglas Smith,L,2.33,1.82,3060,1.64,3,42129350
2012,277,Derry Borough,Kim L Ward,R,88.44,86.96,92984,88.2,157,Mitt Romney,R,57.47,61.29,103932,66.67,124,Derry Borough Ward 3,67.15,Tom Smith,R,53.5,56.78,95218,60.11,110,42129350
2012,277,Derry Borough,Kim L Ward,R,88.44,86.96,92984,88.2,157,Mitt Romney,R,57.47,61.29,103932,66.67,124,Derry Borough Ward 3,67.15,Bob Casey Jr,D,44.17,41.4,69431,38.25,70,42129350
2012,277,Derry Borough,Kim L Ward,R,88.44,86.96,92984,88.2,157,Mitt Romney,R,57.47,61.29,103932,66.67,124,Derry Borough Ward 3,67.15,Rayburn Douglas Smith,L,2.33,1.82,3060,1.64,3,42129350
2012,277,Derry Borough,Kim L Ward,R,88.44,86.96,92984,88.2,157,Barack Obama,D,40.92,37.58,63722,31.72,59,Derry Borough Ward 3,67.15,Tom Smith,R,53.5,56.78,95218,60.11,110,42129350
2012,277,Derry Borough,Kim L Ward,R,88.44,86.96,92984,88.2,157,Barack Obama,D,40.92,37.58,63722,31.72,59,Derry Borough Ward 3,67.15,Bob Casey Jr,D,44.17,41.4,69431,38.25,70,42129350
2012,277,Derry Borough,Kim L Ward,R,88.44,86.96,92984,88.2,157,Barack Obama,D,40.92,37.58,63722,31.72,59,Derry Borough Ward 3,67.15,Rayburn Douglas Smith,L,2.33,1.82,3060,1.64,3,42129350
2012,277,Derry Borough,Kim L Ward,R,88.44,86.96,92984,88.2,157,Gary Johnson,L,1.2,0.84,1426,0.54,1,Derry Borough Ward 3,67.15,Tom Smith,R,53.5,56.78,95218,60.11,110,42129350
2012,277,Derry Borough,Kim L Ward,R,88.44,86.96,92984,88.2,157,Gary Johnson,L,1.2,0.84,1426,0.54,1,Derry Borough Ward 3,67.15,Bob Casey Jr,D,44.17,41.4,69431,38.25,70,42129350
2012,277,Derry Borough,Kim L Ward,R,88.44,86.96,92984,88.2,157,Gary Johnson,L,1.2,0.84,1426,0.54,1,Derry Borough Ward 3,67.15,Rayburn Douglas Smith,L,2.33,1.82,3060,1.64,3,42129350
2012,277,Derry Borough,Kim L Ward,R,88.44,86.96,92984,88.2,157,Jill Stein,G,0.4,0.29,492,1.08,2,Derry Borough Ward 3,67.15,Tom Smith,R,53.5,56.78,95218,60.11,110,42129350
